Rank,Company,Total Revenue (Billion$),Country
1,AT&T,170.8,United State
2,Verizon Communication,131.8,United State
3,Nippon Telegraph & Tel,107.1,Japan
4,Comca,95.55,United State
5,Softbank,86.76,Japan
6,Deutsche Telekom,86.57,Germany
7,Telefónica,57.48,Spain
8,China Telecom,57.09,China
9,América Móvil,52.71,Mexico
10,Vodafone,50.51,United Kingdom
11,Orange,48.91,France
12,China Unicom,44.01,China
13,Charter Communication,43.61,United State
14,Telstra,41.21,Australia
15,KDDI,34.81,Japan
16,Sprin,33.41,United State
17,BT Group,30.31,United Kingdom
18,CenturyLink,23.41,United State
19,Telecom Italia,22.82,Italy
20,KT Corporation,21.32,South Korea
21,BCE,18.12,Canada
22,China Communications Service,16.02,China
23,Vivend,15.92,France
24,SK Telecom,15.42,South Korea
25,Saudi Telecom,13.92,Saudi Arabia
26,Telenor,13.62,Norway
27,Etisala,12.32,United Arab Emirate
28,G Uplu,12.12,South Korea
29,Bharti Airtel,12.03,India
30,Swisscom,11.93,Switzerland
31,Rogers Communication,11.63,Canada
32,Cox Communication,11.03,United State
33,Telu,10.93,Canada
34,MTN Group,10.23,South Africa
35,Telia Company,9.636,Sweden
36,Telkom Indonesia,9.137,Indonesia
37,VimpelCom,9.138,Netherland
38,Frontier Communication,8.639,United State
39,Ooredoo,8.240,Qatar
40,Mobile TeleSystem,7.641,Russia
41,Chunghwa Telecom,7.042,Taiwan
42,KPN,6.943,Netherland
43,Optu,6.644,Australia
44,Proximu,6.645,Belgium
45,SingTel,6.246,Singapore
46,United Interne,5.947,Germany
47,Virgin Media,5.848,United Kingdom
48,O,5.749,Brazil
49,Windstream Holding,5.750,United State
50,Crown Castle International,5.451,United State
51,Telecom Argentina,5.452,Argentina
52,Advanced Info Service,5.353,Thailand
53,Vodafone Idea Limited[54,5.355,India
54,Telephone and Data System,5.456,United State
55,A1 Telekom Austria Group,5.957,Austria
56,MegaFon,4.858,Russia
57,Zain,4.359,Kuwa
58,Millicom,4.160,uxembourg
59,Turkcell,4.061,Turkey
60,Taiwan Mobile,3.962,Taiwan
61,Turk Telekom,3.963,Turkey
62,OTE,3.864,Greece
63,Du (company),3.765,United Arab Emirate
64,PLDT,3.166,Philippine
65,Zayo Group,2.667,United State
66,Tata Communication,2.568,India
67,Maxis Communication,2.269,Malaysia
68,Mediacom,2.070,United State
69,Granite Telecommunication,1.571,United State
70,GTT Communication,1.572,United State
71,IDT Corporation,1.573,United State
72,Cincinnati Bell,1.474,United State
73,Consolidated Communication,1.475,United State
74,Vocus Group,1.376,Australia
75,RCS&RDS,1.277,Romania
76,Cable One,1.178,United State
77,Vonage,1.079,United State
